City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hilo,90,US,2021-03-21 17:42:05,83,19.7297,-155.09,68.0,5.75
1,Tuatapere,84,NZ,2021-03-21 17:42:13,95,-46.1333,167.6833,53.01,4.0
2,Provideniya,100,RU,2021-03-21 17:42:13,80,64.3833,-173.3,3.97,1.88
3,Gasa,99,PS,2021-03-21 17:43:51,54,31.5,34.4667,75.0,5.37
4,Arraial Do Cabo,20,BR,2021-03-21 17:42:11,70,-22.9661,-42.0278,84.2,21.85
5,Nanortalik,100,GL,2021-03-21 17:43:25,75,60.1432,-45.2371,24.8,30.82
6,Mataura,100,NZ,2021-03-21 17:42:47,95,-46.1927,168.8643,53.01,4.0
7,Akhtanizovskaya,19,RU,2021-03-21 17:49:53,74,45.32,37.1,32.0,2.24
8,Omsukchan,21,RU,2021-03-21 17:47:29,79,62.5333,155.8,-13.14,7.07
9,Thompson,20,CA,2021-03-21 17:42:26,32,55.7435,-97.8558,50.0,4.61
10,Coroico,40,BO,2021-03-21 17:49:54,54,-16.1889,-67.7271,57.2,11.5
11,Ushuaia,40,AR,2021-03-21 17:42:10,71,-54.8,-68.3,51.8,20.71
12,Rikitea,38,PF,2021-03-21 17:42:15,74,-23.1203,-134.9692,79.77,8.57
13,Pangnirtung,40,CA,2021-03-21 17:41:59,70,66.1451,-65.7125,-14.8,3.2
14,Port Alfred,85,ZA,2021-03-21 17:42:39,69,-33.5906,26.891,65.1,12.95
15,Qaanaaq,100,GL,2021-03-21 17:42:19,86,77.484,-69.3632,-7.56,3.94
16,Atuona,9,PF,2021-03-21 17:42:06,77,-9.8,-139.0333,80.17,15.14
17,Port Lincoln,12,AU,2021-03-21 17:43:40,80,-34.7333,135.8667,67.32,8.52
18,Mar Del Plata,75,AR,2021-03-21 17:40:15,68,-38.0023,-57.5575,64.4,13.8
19,Cidreira,100,BR,2021-03-21 17:42:47,84,-30.1811,-50.2056,77.2,8.99
20,Bethel,1,US,2021-03-21 17:42:09,18,41.3712,-73.414,62.01,1.81
21,Aklavik,40,CA,2021-03-21 17:42:11,76,68.2191,-135.0107,-20.2,2.3
22,Nikolskoye,90,RU,2021-03-21 17:42:29,86,59.7035,30.7861,33.8,20.13
23,Sozimskiy,32,RU,2021-03-21 17:49:55,93,59.7418,52.2482,12.43,6.22
24,Zhuhai,40,CN,2021-03-21 17:43:55,67,22.2769,113.5678,62.6,24.16
25,Punta Arenas,75,CL,2021-03-21 17:42:23,51,-53.15,-70.9167,59.0,12.66
26,Iqaluit,75,CA,2021-03-21 17:42:09,70,63.7506,-68.5145,-9.4,2.3
27,Richards Bay,81,ZA,2021-03-21 17:43:37,88,-28.783,32.0377,71.35,10.8
28,Dikson,85,RU,2021-03-21 17:42:03,63,73.5069,80.5464,-11.34,5.59
29,Bluff,92,NZ,2021-03-21 17:42:34,95,-46.6,168.3333,53.01,4.0
30,Port Hardy,90,CA,2021-03-21 17:45:10,87,50.6996,-127.4199,41.0,19.57
31,Bambanglipuro,91,ID,2021-03-21 17:44:00,85,-7.95,110.2833,77.74,3.2
32,Havre-Saint-Pierre,20,CA,2021-03-21 17:47:39,80,50.2334,-63.5986,33.8,10.36
33,Hobart,90,AU,2021-03-21 17:39:56,77,-42.8794,147.3294,60.8,6.91
34,Bolshoye Nagatkino,65,RU,2021-03-21 17:49:55,68,54.5196,47.9679,23.0,8.95
35,Pangoa,100,PE,2021-03-21 17:49:56,99,-12.1167,-73.0,68.16,0.87
36,Forestville,1,US,2021-03-21 17:49:56,23,38.8451,-76.875,63.0,8.05
37,Albany,1,US,2021-03-21 17:39:24,16,42.6001,-73.9662,61.0,2.42
38,Nome,90,US,2021-03-21 17:49:56,67,64.5011,-165.4064,12.2,1.14
39,Klaksvik,75,FO,2021-03-21 17:41:57,100,62.2266,-6.589,44.6,18.41
40,Ariguani,47,CO,2021-03-21 17:49:57,43,10.25,-74.0,98.01,1.01
41,Port Elizabeth,20,ZA,2021-03-21 17:42:28,77,-33.918,25.5701,62.6,8.05
42,Castro,82,BR,2021-03-21 17:42:17,81,-24.7911,-50.0119,76.14,5.12
43,Victoria,80,HK,2021-03-21 17:39:43,68,22.2855,114.1577,63.0,1.99
44,Saint-Pierre,90,RE,2021-03-21 17:47:13,83,-21.3393,55.4781,78.8,18.41
45,Kapaa,20,US,2021-03-21 17:38:23,68,22.0752,-159.319,71.6,19.57
46,Tuni,42,IN,2021-03-21 17:47:18,77,17.35,82.55,75.83,1.68
47,San Quintin,92,MX,2021-03-21 17:44:12,64,30.4833,-115.95,60.21,12.15
48,Vaini,40,TO,2021-03-21 17:42:17,94,-21.2,-175.2,75.2,3.44
49,Gayny,49,RU,2021-03-21 17:49:57,91,60.3071,54.3241,10.72,5.84
50,San Patricio,20,US,2021-03-21 17:42:35,46,28.017,-97.5169,73.0,8.05
51,Cherskiy,0,RU,2021-03-21 17:43:21,71,68.75,161.3,-15.88,5.75
52,Upernavik,100,GL,2021-03-21 17:42:42,87,72.7868,-56.1549,-10.01,5.46
53,Port-Cartier,75,CA,2021-03-21 17:43:18,75,50.0334,-66.8654,41.0,6.91
54,Hasaki,75,JP,2021-03-21 17:43:33,88,35.7333,140.8333,55.4,5.75
55,Longyearbyen,75,SJ,2021-03-21 17:42:36,73,78.2186,15.6401,15.8,16.11
56,Pitimbu,40,BR,2021-03-21 17:46:05,62,-7.4706,-34.8086,86.0,11.5
57,Lata,0,PT,2021-03-21 17:43:28,54,40.1629,-8.3327,57.99,12.66
58,Ketchikan,90,US,2021-03-21 17:41:55,93,55.3422,-131.6461,37.4,3.44
59,Muravlenko,94,RU,2021-03-21 17:46:55,94,63.7898,74.523,3.72,11.32
60,Blagoyevo,100,RU,2021-03-21 17:49:58,94,63.3667,47.9167,22.6,9.55
61,Orzu,32,TJ,2021-03-21 17:49:59,87,37.5593,68.8184,53.6,4.47
62,Constitucion,2,CL,2021-03-21 17:39:15,63,-35.3333,-72.4167,66.51,8.52
63,Kruisfontein,62,ZA,2021-03-21 17:46:23,70,-34.0033,24.7314,64.0,3.0
64,Minab,0,IR,2021-03-21 17:49:59,64,27.1467,57.0801,75.2,9.22
65,Kieta,91,PG,2021-03-21 17:47:37,83,-6.2167,155.6333,78.15,3.24
66,Hermanus,0,ZA,2021-03-21 17:41:58,73,-34.4187,19.2345,64.99,1.99
67,Kupang,100,ID,2021-03-21 17:49:59,84,-10.1667,123.5833,79.84,10.58
68,Hamilton,1,US,2021-03-21 17:42:39,25,39.1834,-84.5333,64.0,3.44
69,Gushikawa,90,JP,2021-03-21 17:50:00,63,26.3544,127.8686,62.6,19.57
70,Burley,75,US,2021-03-21 17:46:16,60,42.5357,-113.7928,39.2,10.36
71,Acapulco,40,MX,2021-03-21 17:42:53,65,16.8634,-99.8901,84.2,6.91
72,Tabou,39,CI,2021-03-21 17:43:48,84,4.423,-7.3528,81.07,10.56
73,Rincon,90,US,2021-03-21 17:50:00,87,32.296,-81.2354,51.8,18.41
